fuzzer,domain,dns_a,dns_aaaa,dns_mx,dns_ns
omission,www.abconnect.com,72.3.164.64,,,
subdomain,www.ac.ubalance.com,13.248.169.48,ns1.namefind.com,,
repetition,www.accubalance.com,52.58.78.16,,,
bitsquatting,www.acebalance.com,46.30.211.38,,,
replacement,www.acibalance.com,154.26.243.177,ns07.domaincontrol.com,,
subdomain,www.acu.balance.com,12.13.211.113,,,
subdomain,www.acubalan.ce.com,104.247.81.51,mail.h-email.net,ns1.parkingcrew.net,
*original,www.acubalance.com,15.197.142.173,mailstore1.secureserver.net,ns45.domaincontrol.com,
hyphenation,www.acu-balance.com,72.52.179.174,mx156.hostedmxserver.com,ns1.parklogic.com,
transposition,www.albconnect.com,34.205.242.146,nsg1.namebrightdns.com,,
bitsquatting,www.alliedweld.com,69.49.228.250,alliedweld.com,ns1.arwainfotech.in,
*original,www.alliedwell.com,3.18.7.81,domain-for-sale.hugedomainsdns.com,,
addition,www.alliedwells.com,3.233.126.24,,,
homoglyph,www.allieelwell.com,192.0.78.24,alt1.aspmx.l.google.com,ns1.wordpress.com,
replacement,www.allisdwell.com,104.21.62.150,2606:4700:3032::ac43:88b6,,
omission,www.astrovital.com,66.45.246.141,,,
subdomain,www.au.diosphere.com,35.223.125.196,,,
bitsquatting,www.audiosphera.com,104.21.85.207,2606:4700:3031::6815:55cf,,
*original,www.audiosphere.com,15.197.148.33,audiosphere-com.mail.protection.outlook.com,ns27.domaincontrol.com,
hyphenation,www.audio-sphere.com,94.126.16.70,,,
addition,www.audiospheres.com,34.149.87.45,,,
bitsquatting,www.ayeview.com,91.195.240.19,,,
replacement,www.bearwell.com,18.119.154.66,nsg1.namebrightdns.com,,
subdomain,www.beautysc.ulpt.com,173.255.194.134,ns1.mytrafficmanagement.com,,
subdomain,www.beautyscu.lpt.com,104.18.20.166,2606:4700::6812:14a6,,
*original,www.beautysculpt.com,13.248.169.48,ns1.namefind.com,,
omission,www.beautyscult.com,108.138.167.109,ns-1206.awsdns-22.org,,
bitsquatting,www.beautyskulpt.com,162.159.140.67,2606:4700:7::43,,
bitsquatting,www.bitvibe.com,23.227.38.74,,,
subdomain,www.cardi.ovista.com,64.190.63.111,localhost,ns1.sedoparking.com,
subdomain,www.cardiov.ista.com,62.116.130.8,,,
*original,www.cardiovista.com,13.248.169.48,ns1.namefind.com,,
omission,www.cardiovita.com,18.233.251.213,,,
omission,www.cardivista.com,68.178.145.166,ns11.domaincontrol.com,,
replacement,www.centacare.com,141.193.213.20,au-smtp-inbound-1.mimecast.com,ns0.dnsmadeeasy.com,
subdomain,www.cleans.weep.com,173.255.194.134,mail.mailerhost.net,ns1.mytrafficmanagement.com,
omission,www.cleanseep.com,121.40.221.14,,,
insertion,www.cleanssweep.com,162.241.216.155,mail.cleanssweep.com,ns1.bluehost.com,
subdomain,www.cleansw.eep.com,69.10.42.213,,,
*original,www.cleansweep.com,86.105.245.69,,,
hyphenation,www.clean-sweep.com,192.0.78.180,mx1-us1.ppe-hosted.com,ns1.wordpress.com,
addition,www.cleansweep1.com,54.148.253.109,ns1-a1.warnerbros.com,,
addition,www.cleansweepa.com,35.71.182.241,ns63.domaincontrol.com,,
addition,www.cleansweepe.com,185.230.61.173,dns1.parastorage.com,,
addition,www.cleansweepp.com,72.52.229.145,mx1.emailsrvr.com,ns1.conceptsrq.com,
addition,www.cleansweeps.com,104.196.196.12,,,
addition,www.cleansweepz.com,34.205.242.146,nsg1.namebrightdns.com,,
bitsquatting,www.cleansweet.com,3.18.7.81,nsg1.namebrightdns.com,,
replacement,www.cleanzweep.com,205.235.26.22,,,
